"slug","name"
"infrastructure","Infrastructure"
"staffing","Staffing"
"management","Management"
"condition","Condition"
"general","General"
"access","Access"
"maternal_health","Maternal Health"
"child_health","Child Health"
"disease_hiv","Disease/HIV"
"disease_tb","Disease/TB"
"disease_malaria","Disease/Malaria"
