"imei","geo_id","start_time","end_time","research_assistant_name","photo","gps","zone","state","lga","ward","community","nearest_locality","nearest_school_or_clinic","pre_existing_id","water_source_type","distribution_type","lift","water_source_developed_by","water_source_managed_by_federal_","water_source_managed_by_state_go","water_source_managed_by_local_go","water_source_managed_by_communit","water_source_managed_by_individu","water_source_managed_by_internat","water_source_managed_by_private_","water_source_managed_by_other","federal_gov_managing_name","state_gov_managing_name","local_gov_managing_name","community_managing_name","individual_org_managing_name","intl_partner_managing_name","private_org_managing_name","pay_for_water_yn","water_source_used_today_yn","reasons_water_source_not_used_pu","reasons_water_source_not_used_no","reasons_water_source_not_used_ot","reaons_water_source_not_used_di","reaons_water_source_not_used_el","reasons_water_source_not_used_mi","reasons_water_source_not_used_li","reasons_water_source_not_used_ki","reasons_water_source_not_used_po","reasons_water_source_not_used_dr","reasons_water_source_not_used_st","reasons_water_source_not_used_do","water_source_physical_state","other_close_water_source_yn","season_water_source_used","helped_to_complete_nobody","helped_to_complete_lga_staff","helped_to_complete_community_mem","helped_to_complete_none","_xform_id_string","_surveyor_name","_status","_lga_id","_attachments","_id"
3.55E+014,121494,03/25/11 12:21 PM,03/26/11 07:57 AM,,,,"northwest",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poorly_maintained","yes","Broken",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3140
3.55E+014,121494,03/25/11 12:27 PM,03/25/11 12:33 PM,,,,"northwest",,,,,,,,"protected_dug_well","single_point","rope_pulley","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3141
3.55E+014,121494,03/25/11 12:34 PM,03/25/11 12:43 PM,,,,"northwest",,,,,,,,"borehole","single_point","solar","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poorly_maintained","yes","Broken down",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3142
3.55E+014,411017,03/27/11 11:53 PM,03/28/11 12:00 AM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","no","do_not_know",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3268
3.55E+014,411017,03/28/11 12:00 AM,03/28/11 12:05 AM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","no","wet_seasons",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3302
3.55E+014,411017,03/28/11 12:05 AM,03/28/11 12:10 AM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","no","wet_seasons",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3303
3.55E+014,121494,03/25/11 09:06 AM,03/25/11 09:13 AM,,,,"northwest",,,,,,,,"unprotected_dug_well","single_point","rope_pulley","other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,4261
3.55E+014,121494,03/25/11 10:02 AM,03/25/11 10:07 AM,,,,"northwest",,,,,,,,"borehole","single_point","solar","local_government",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"well_maintained","yes","do_not_know",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,4264
3.55E+014,411017,03/22/11 12:08 PM,03/22/11 12:31 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"newly_constructed","yes","has never been used",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8310
3.55E+014,411017,03/22/11 12:36 PM,03/22/11 12:45 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,"still under contruction",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"newly_constructed","yes","under contruction",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8311
3.55E+014,411017,03/22/11 12:48 PM,03/22/11 12:58 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"newly_constructed","yes","has never been used after construction",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8312
3.55E+014,411017,03/22/11 12:59 PM,03/28/11 12:11 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","federal_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"newly_constructed","yes","has not been used before",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8313
3.55E+014,411017,03/22/11 03:28 PM,03/22/11 03:43 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","no","pump mechnism broken not in use",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8315
3.55E+014,121494,03/28/11 09:33 AM,03/28/11 09:37 AM,,,,"northwest",,,,,,,,"borehole","single_point","electric","local_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","yes","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8402
3.55E+014,121494,03/28/11 09:37 AM,03/28/11 09:41 AM,,,,"northwest",,,,,,,,"borehole","single_point","electric","local_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"well_maintained","yes","do_not_know",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8403
