"slug","name","description","clickable","subgroups"
"water_source_type","Type",,,"management condition"
"lift","Lift","What is lift?",,"management"
"water_source_developed_by","Developed by",,"yes","management"
"water_source_used_today_yn","Used today",,"yes","condition"
"water_source_physical_state","Physical State",,"yes","condition"
